"data.hostItem.author";"data.hostItem.title";"data.hostItem.keywords";"data.hostItem.subject"
"Quintilianus, Marcus Fabius (Pseudo-)";"Declamationes maiores. Ed: Jacobus Grasolarius";"Anthology; Classical studies; Education";"Rhetoric"
"Rainerius de Pisis";"Pantheologia, sive Summa universae theologiae. Ed: Jacobus Florentinus";"encyclopaedia; education?";"Theology"
"Regiomontanus, Johannes (Müller, Johann, of Königsberg)";"Epitoma in Almagestum Ptolemaei. Ed: Johannes Baptista Abiosus. With additions by Johannes Lucilius Santritter";"commentary; collection";"astronomy"
"Rhasis, Mohammed";"Liber Elhavi sive Ars medicinae. Tr: Feragius Salernitanus. Ed: Joannes Bugatus";"education; translation";"medicine"
"Rolewinck, Werner";"Fasciculus temporum";;"History"
"Sabellicus, Marcus Antonius";"Decades rerum Venetarum";;"History"
"Sabellicus, Marcus Antonius";"Decades rerum Venetarum";;"History"
"Salis, Baptista de (Trovamala)";"Summa casuum conscientiae. Add: Sixtus IV: Bulla ""Etsi dominici gregis"" 30 Dec. 1479. Rubricae iuris civilis et canonici";"Law-canon; collection";"theology-pastoral"
"Sallustius Crispus, Gaius";"Opera";"collection";"History"
"Schedel, Hartmann";"Liber chronicarum";;"history"
"Seneca, Lucius Annaeus";"Opera philosophica. Epistolae";"letter collection; collection";"philosophy"
"Sidonius Apollinaris";"Epistolae et carmina. Ed & comm: Joannes Baptista Pius";"poetry";"literature"
"Silius Italicus";"Punica. Comm: Petrus Marsus";"commentary";"history"
"Silius Italicus";"Punica. Comm: Petrus Marsus";"commentary";"history"
"Simon de Cassia";"Expositio super totum corpus Evangeliorum";"Bible";"theology-pastoral"
"Simplicius";"Hypomnemata in Aristotelis categorias [Greek]";;"philosophy-logic"
"Solinus, Gaius Julius";"Polyhistor, sive De mirabilibus mundi, sive Collectanea rerum memorabilium";"travel; Geography; Encyclopaedia";"History?"
"Statius, Publius Papinius";"Opera";"Poetry; Collection";"Literature"
"Suetonius Tranquillus, Gaius";"Vitae XII Caesarum. Comm: Philippus Beroaldus. Add: Philippus Beroaldus: Epistola ad Hannibalem Bentivolum; Vita Suetonii; Appendix annotamentorum; Breviarium rerum memorabilium quae in commentario insunt. Aurelius Victor: Elogium de Julio Caesare. Johannes Baptista Pius: Ad librum. Ugerius Pontremulensis: Tetrastichon. Tabula vocabulorum et historiarum et locorum";"commentary; biography; collection; celebratory works";"history"
"Terentius Afer, Publius";"Comoediae. Comm: Aelius Donatus. Add: Vita Terentii";"collection; theatre; commentary; poetry";"literature"
"Terentius Afer, Publius";"Comoediae. Comm: Aelius Donatus; Johannes Calphurnius (in part). Add: Vita Terentii";"collection; theatre; poetry; commentary";"literature"
"Terentius Afer, Publius";"Comoediae. Comm: Donatus; Guido; and Calphurnius (in part). Ed: Jodocus Badius Ascensius. Add: Vita Terentii";"theatre; collection; poetry; commentary";"literature"
"Terentius Afer, Publius";"Comoediae. Cum directorio vocabulorum, glossa interlineari, et commentariis Donati, Guidonis, et Ascensii. Add: Vita Terentii de dictis Petrarcae excerpta";"theatre; poetry";"literature"
"Terentius Afer, Publius";"Comoediae. Ed: Franciscus Diana. Comm: Aelius Donatus; Johannes Calphurnius (in part). Add: Vita Terentii";"poetry; commentary; theatre; collection";"literature"
"Theocritus";"Idyllia [Greek]. Add: Theognis; Dionysius Cato: Disticha (Tr: Maximus Planudes); Sententiae Septem sapientium; De invidia; Hesiodus: Opera et dies, Theogonia [Greek]. With table and colophon in Latin";"poetry; translation; collection";"literature"
"Theophrastus";"De historia et causis plantarum. Ed: with a table, by Georgius Merula. Tr: Theodorus Gaza";"Translation";"Philosophy-natural"
"Thomas Aquinas";"Catena aurea super quattuor evangelistas";"commentary";"theology-biblical"
"Thomas Aquinas";"De divinis moribus et De beatitudine aeternitatis";;"theology-speculative"
"Tibullus, Albius";"Elegiae (Comm: Bernardinus Cyllenius Veronensis). Add: Catullus: Carmina (Comm: Antonius Parthenius and Palladius Fuscus). Propertius: Elegiae (Comm: Philippus Beroaldus). Hieronymus Avantius: Emendationes. Ed: Hieronymus Avantius";"poetry; commentary; collection";"literature"
"Tibullus, Albius";"Elegiae (Comm: Bernardinus Cyllenius Veronensis). Add: Catullus: Carmina (Comm: Antonius Parthenius). Propertius: Elegiae (Comm: Philippus Beroaldus)";"poetry; collection; commentary";"literature"
