"data.hostItem.author";"data.hostItem.title";"data.hostItem.keywords";"data.hostItem.subject"
"Juvenalis, Guido";"Vindicta seu defensio monasticae reformationis";"polemical works; current affairs; rethoric";"theology ecclesiology"
"Lactantius, Lucius Coelius Firmianus";"Opera";"poetry; collection";"Literature"
"Lattebury, Johannes";"Liber moralium super threnis Ieremiae";"commentary; Bible";"Theology-moral"
"Lattebury, Johannes";"Liber moralium super threnis Ieremiae";"Bible; commentary";"Theology-moral"
"Leopoldus, S";"Historia Sancti Leopoldi [Officium de festo sancto Leopoldi secundum rubricam ecclesiae Pataviensis]";"liturgy";"hagiography"
"Lichtenberger, Johannes";"Prognosticatio";"prophetic works; polemical works";"astrology"
"Lichtenberger, Johannes";"Prognosticatio";"polemical works; prophetic works";"astrology"
"Lichtenberger, Johannes";"Prognosticatio";"polemical works; prophetic works";"astrology"
"Lignano, Johannes de";"De pluralitate beneficiorum ecclesiasticorum. Add: Guilelmus Bont: Responsio ac decisio quaestionis quodlibetice; Aegidius de Bellamera: Tractatus permutationum beneficiorum ecclesiasticorum";"education";"Law-canon"
"Ludolphus de Saxonia";"Vita Christi";"theology-pastoral";"hagiography"
"Lullus, Raymundus";"De laudibus B. V. Mariae. De natali pueri parvuli. Clericus. Phantasticus. Ed: Jacobus Faber Stapulensis";;"literature-devotional"
"Lupius, Jacobus";"Fructus sacramenti penitentie";;"theology-pastoral"
"Lupius, Jacobus";"Fructus sacramenti penitentie";;"theology-pastoral"
"Lydgate, John";"The virtue of the mass [English verse]";"poetry";"literature"
"Lyndewode, Guilielmus";"Constitutiones provinciales ecclesiae Anglicanae";"administration church";"law-canon"
"Lyndewode, Guilielmus";"Constitutiones provinciales ecclesiae Anglicanae";"administration church";"law-canon"
"Magni, Jacobus";"Le livre de bonnes moeurs [English] The book of good manners (Tr: William Caxton)";"translation";"literature-social"
"Maillardus, Oliverius";"Sermones de adventu. Sermones dominicales. Quadragesimales. Add: Sermones de stipendio peccati et gratiae praemio";;"theology-pastoral"
"Maimonides, Moses";"Mishneh Torah";"rabbinics; religion; commentary; hebraica";"Law-national"
"Mancinus, Dominicus";"Carmen de passione Christi. Add: Oratio ad Virginem";"poetry";"literature-devotional"
